Covidence #,Study ID,Title,Reviewer Name,Lippens et al.?,Location,Paired,Subgroup Analysis,Restaurant,Blue Collar,Office Focus,Degree Level,Study ID,Title,Lead author contact details,Document Types,Country in which the study conducted,Notes,Aim of study,Start date,End date,Total applications,Method of resume submission,Signal,Intervention and Comparisons:,Group 1 Treatment,Group 1 Control,Group 1 Condition,Group 2 Treatment,Group 2 Control,Group 2 Condition,Group 3 Treatment,Group 3 Control,Group 3 Condition,Group 4 Treatment,Group 4 Control,Group 4 Condition,Group 5 Treatment,Group 5 Control,Group 5 Condition,Group 6 Treatment,Group 6 Control,Group 6 Condition,Outcome table:,Group 1 # resumes (treat),Group 1 % callbacks (treat),Group 1 # resumes (control),Group 1 % callbacks (control),Group 2 # resumes (treat),Group 2 % callbacks (treat),Group 2 # resumes (control),Group 2 % callbacks (control),Group 3 # resumes (treat),Group 3 % callbacks (treat),Group 3 # resumes (control),Group 3 % callbacks (control),Group 4 # resumes (treat),Group 4 % callbacks (treat),Group 4 # resumes (control),Group 4 % callbacks (control),Group 5 # resumes (treat),Group 5 % callbacks (treat),Group 5 # resumes (control),Group 5 % callbacks (control),Group 6 # resumes (treat),Group 6 % callbacks (treat),Group 6 # resumes (control),Group 6 % callbacks (control),Comments,Callback by names:, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate,Alternative outcome table:,Group 1 Mean (treat),Group 1 SD (treat),Group 1 Mean (control),Group 1 SD (control),Group 2 Mean (treat),Group 2 SD (treat),Group 2 Mean (control),Group 2 SD (control),Group 3 Mean (treat),Group 3 SD (treat),Group 3 Mean (control),Group 3 SD (control),Group 4 Mean (treat),Group 4 SD (treat),Group 4 Mean (control),Group 4 SD (control),Group 5 Mean (treat),Group 5 SD (treat),Group 5 Mean (control),Group 5 SD (control)
4550,Kline 2022,Systemic Discrimination Among Large U.S. Employers,Consensus,No,many counties in the United States,Yes,Yes,Yes,Yes,Yes,High school; Some college,Kline 2022,Systemic Discrimination among Large U.S. Employers,pkline@econ.berkeley.edu,Journal Article,United States,,Evaluate the state of hiring discrimination among large U.S. Employers.,19-Oct,21-Apr,84000,Online,"Names (race, gender); LGBTQ high school club assignment (sexual orientation); Gender-neutral pronouns (non-binary); associate degree (low-income); over 40 (older).",,Black Male,White Male,High School Degree,Black Female,White Female,High School Degree,Black Male,White Male,Associate Degree,Black Female,White Female,Associate Degree,Over 40,Under 40,,LGBTQ club member,Other Club,,,10845,0.233,11037,0.247,10677,0.228,10866,0.248,10082,0.234,9938,0.246,10202,0.226,9996,0.261,44730,0.24,38913,0.245,6844,0.245,6943,0.255,Summary from available dataset,,High School Degree,,Over 40,,LGBT club member,,High School Degree,,Over 40,,LGBT club member,,Associate Degree,,Under 40,,Academic Club,,Associate Degree,,Under 40,,Academic Club,,White Male,,White Male,,White Male,,White Female,,White Female,,White Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4537,Gorsuch 2018,Customer Prejudice & Salience: The Effect of the 2016 Election on Employment Discrimination,Consensus,Yes,Minnesota,Yes,Yes,Yes,Yes,Yes,High school; College degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,Jolson 1974,Employment Barriers in Marketing,Consensus,No,Maryland,No,No,No,No,Yes,College degree; Graduate degree,Jolson 1974,Employment Barriers in Marketing,,Journal Article,United States,,"Examine the differing levels of employer receptivity to the applications of black, Jewish, and white Protestant individuals for advertised middle-management or top-level positions in marketing",1974,1974,300,Mail,race/religion,,Black Protestant,White Protestant,Not sales,White Jewish,White Protestant,Not sales,Black Protestant,White Protestant,Sales,White Jewish,White Protestant,Sales,,,,,,,,50,0.12,50,0.14,50,0.1,50,0.14,50,0.06,50,0.24,50,0.26,50,0.24,,,,,,,,,"Page 68, Table 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,Kleykamp 2009,A Great Place to Start?: The Effect of Prior Military Service on Hiring,Consensus,Yes,New York City,Yes,Yes,Yes,Yes,Yes,High school; College degree,Kleykamp 2009,A Great Place to Start? The Effect of Prior Military Service on Hiring,,Journal Article,United States,,,,,,Fax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4502,Farber 2016,Determinants of Callbacks to Job Applications: An Audit Study,Consensus,Yes,"Dallas, Texas; Omaha, Nebraska; Pittsburgh, Pennsylvania; and Portland, Maine; Charlotte, North Carolina; Chicago, Illinois; Sacramento, California; and Tampa, Florida.",Yes,No,No,No,Yes,College degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4439,Lahey 2008,The Resume Characteristics Determining Job Interviews for Middle-Aged Women Seeking Entry-Level Employment,Consensus,Yes,"Boston, MA; St. Petersburg, FL",Yes,No,Yes,Yes,Yes,High school; College degree,Lahey 2008,"Age, Women, and Hiring An Experimental Study",jlahey@nber.org,Journal Article,United States,"1) ALL résumés are from female jobseekers;

2) The article inserted here is a follow-up, posterior analysis from a previous study on age hiring discrimination. Right PDF: http://jhr.uwpress.org/content/43/1/30.full.pdf+html",,2-Feb,3-Feb,7992,,,,Older,Younger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,Mishel 2016,Discrimination against queer women in the US workforce: A résumé audit study,Consensus,Yes,Virginia; Washington D.C.; Tennessee; New York.,Yes,No,No,No,Yes,College degree,Mishel 2016,"Discrimination against Queer Women
in the U.S. Workforce : A Résumé Audit
Study.",ekm331@nyu.edu,Journal Article,United States,All applicants were women.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,Kroft 2013,Duration dependence and labor market conditions: Evidence from a field experiment,Consensus,No,100 US cities,Yes,Yes,No,No,Yes,High school; Some college; College degree,Kroft 2013,DURATION DEPENDENCE AND LABOR MARKET CONDITIONS: EVIDENCE FROM A FIELD EXPERIMENT,,Journal Article,United States,,Determine whether the length of time out of work diminish a worker’s job market opportunities.,2011,2011,"12,054",Online,Unemployment spell,,Unemployment duration (>=18 months),Employed,Male,Unemployment duration (<18 months),Employed,Male,Unemployment duration (>=18 months),Employed,Female,Unemployment duration (<18 months),Employed,Female,,,,,,,,1722,0.055,1045,0.07,2658,0.06,1045,0.07,2928,0.03,1773,0.042,4746,0.048,1773,0.042,,,,,,,,,Data from raw dataset summaries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Correll 2007,Getting a job: Is there a motherhood penalty?,Consensus,Yes,Large Northeastern city.,Yes,No,No,No,Yes,High school; College degree,Correll 2007,Getting a job: Is there a motherhood penalty?,December,Journal Article,United States,,Measure the levels of discrimination regarding motherhood penalty in the labor market.,2007,2007,1276,Online,Assignment of having a child / being a mother and/or father.,,Mothers,Childless women,,Fathers,Childless men,,Mothers,Fathers,,,,,,,,,,,,320,3.13,320,6.56,318,5.03,318,2.83,318,3.13,320,5.03,,,,,,,,,,,,,"Page 1331, Table 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Gorzig 2021,"Race, Religion, and Immigration: Experimental Evidence from the Labor Market",Consensus,No,Minneapolis ,Yes,Yes,Yes,Yes,Yes,High school; College degree,Gorzig 2021,"Race, Religion, and Immigration: Experimental Evidence from the Labor Market","mmgorsuch952@stkate.edu, deborah.rho@sthomas.edu",Journal Article,United States,,Difference in employment discrimination between Black immigrants and native-born Black Americans,17-Jul,18-Dec,3480,Online,Names,,African American ,White American ,Female,Somali American ,White American ,Born in US (Female),Somali American ,White American ,US high school (Female),African American ,White American ,Male ,Somali American ,White American ,Born in US (Male) ,Somali American ,White American ,US high school (Male) ,,421,0.26,421,0.28,201,0.15,421,0.28,669,0.21,421,0.28,449,0.26,449,0.31,240,0.22,449,0.31,630,0.18,449,0.31,Fig. 6 and Fig. 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
