"study","category","level","callback","n"
"acquisti","sexual orientation","lgb+ orientation",0.106941838649156,1066
"acquisti","religion","majority religion",0.126415094339623,1060
"acquisti","religion","muslim",0.10958904109589,1022
"acquisti","sexual orientation","non-lgb+ orientation",0.106341463414634,1025
"agan","race and national origin","anglo-saxon name",0.12896174863388,7320
"agan","race and national origin","black-sounding name",0.105054644808743,7320
"ameri","health","asperger",0.0494,1945
"ameri","disability","asperger’s syndrome",0.0212976721149084,2019
"ameri","disability","no disability",0.0253411306042885,2052
"ameri","health","none",0.0658,2052
"ameri","disability","spinal cord injury",0.0236503856041131,1945
"ameri","health","spine",0.048,2019
"bailey","sexual orientation","gay",0.163333333333333,576
"bailey","sexual orientation","lesbian",0.116333333333333,576
"bailey","sexual orientation","straight",0.1215,3072
"beauregard","race and national origin","french canadian",0.2915,202
"beauregard","race and national origin","north african",0.1385,202
"bellemare","disability","no physical disability",0.146209386281588,554
"bellemare","disability","wheelchair user",0.0682556879739978,923
"bertrand","race and national origin","african american",0.0640333333333333,2435
"bertrand","race and national origin","white",0.0923333333333333,2435
"boyd-swan","race and national origin","anglo-saxon name",0.269852941176471,2720
"boyd-swan","race and national origin","black-sounding name",0.201102941176471,2720
"boyd-swan","race and national origin","hispanic-sounding name",0.237867647058824,2720
"button","race and national origin","indigenous origin",0.201390944066292,6758
"button","race and national origin","native origin",0.197839597514057,6758
"correll","gender and motherhood status","childless woman",0.065625,320
"correll","gender and motherhood status","female gender",0.096875,320
"correll","gender and motherhood status","male gender",0.0786163522012579,318
"correll","gender and motherhood status","mother",0.03125,320
"correll","parenthood","nonparent",0.046963443395,638
"correll","parenthood","parent",0.040782232705,638
"decker","race and national origin","african name",0.0598455598455598,1036
"decker","race and national origin","anglo-saxon name",0.0781853281853282,1036
"decker","race and national origin","hispanic name",0.0849420849420849,1036
"deming","race and national origin","nonwhite",0.0835,5408
"deming","race and national origin","white",0.079,5076
"farber","age","22",0.09379615953,1354
"farber","age","27",0.1097708082,1658
"farber","age","33",0.1260558804,1539
"farber","age","42",0.1252624213,1429
"farber","age","51",0.1109634551,1505
"farber","age","60",0.09900990099,1414
"farber","age","age 22–23",0.0667177914110429,1304
"farber","age","age 33–34 or age 42–43",0.0891812865497076,1368
"farber","age","age 33–34 or age 42–43",0.0952054794520548,1460
"farber","age","age 37 or age 42",0.107048748353096,3036
"farber","age","age 57 or age 58",0.0760869565217391,3036
"farber","age","age 60–61",0.075092936802974,1345
