"name","race","gender","callback","callback_n","n","study","age"
"aisha","Black","Female",0.0222222222222222,4,180,"bertrand",NA
"allison","White","Female",0.0948275862068965,22,232,"bertrand",NA
"anne","White","Female",0.0826446280991736,20,242,"bertrand",NA
"brad","White","Male",0.158730158730159,10,63,"bertrand",NA
"brendan","White","Male",0.0769230769230769,5,65,"bertrand",NA
"brett","White","Male",0.0677966101694915,4,59,"bertrand",NA
"carrie","White","Female",0.130952380952381,22,168,"bertrand",NA
"darnell","Black","Male",0.0476190476190476,2,42,"bertrand",NA
"ebony","Black","Female",0.0961538461538462,20,208,"bertrand",NA
"emily","White","Female",0.079295154185022,18,227,"bertrand",NA
"geoffrey","White","Male",0.0677966101694915,4,59,"bertrand",NA
"greg","White","Male",0.0784313725490196,4,51,"bertrand",NA
"hakim","Black","Male",0.0545454545454545,3,55,"bertrand",NA
"jamal","Black","Male",0.0655737704918033,4,61,"bertrand",NA
"jay","White","Male",0.134328358208955,9,67,"bertrand",NA
"jermaine","Black","Male",0.0961538461538462,5,52,"bertrand",NA
"jill","White","Female",0.083743842364532,17,203,"bertrand",NA
"kareem","Black","Male",0.046875,3,64,"bertrand",NA
"keisha","Black","Female",0.0382513661202186,7,183,"bertrand",NA
"kenya","Black","Female",0.086734693877551,17,196,"bertrand",NA
"kristen","White","Female",0.131455399061033,28,213,"bertrand",NA
"lakisha","Black","Female",0.055,11,200,"bertrand",NA
"latonya","Black","Female",0.091304347826087,21,230,"bertrand",NA
"latoya","Black","Female",0.084070796460177,19,226,"bertrand",NA
"laurie","White","Female",0.0974358974358974,19,195,"bertrand",NA
"leroy","Black","Male",0.09375,6,64,"bertrand",NA
"matthew","White","Male",0.0895522388059701,6,67,"bertrand",NA
"meredith","White","Female",0.101604278074866,19,187,"bertrand",NA
"neil","White","Male",0.0657894736842105,5,76,"bertrand",NA
"rasheed","Black","Male",0.0298507462686567,2,67,"bertrand",NA
"sarah","White","Female",0.0984455958549223,19,193,"bertrand",NA
"tamika","Black","Female",0.0546875,14,256,"bertrand",NA
"tanisha","Black","Female",0.0579710144927536,12,207,"bertrand",NA
"todd","White","Male",0.0588235294117647,4,68,"bertrand",NA
"tremayne","Black","Male",0.0434782608695652,3,69,"bertrand",NA
"tyrone","Black","Male",0.0533333333333333,4,75,"bertrand",NA
"angela","White","Female",0.135818908122503,102,777,"farber",33
"donna","White","Female",0.112727272727273,93,851,"farber",27
"heather","White","Female",0.116751269035533,92,812,"farber",34
"janice","White","Female",0.0960757780784844,71,752,"farber",51
"jennifer","White","Female",0.141304347826087,104,761,"farber",42
"joan","White","Female",0.0959885386819484,67,718,"farber",60
"lauren","White","Female",0.106544901065449,70,709,"farber",23
"linda","White","Female",0.12532637075718,96,783,"farber",52
"mary","White","Female",0.10195530726257,73,745,"farber",61
"rose","White","Female",0.106842737094838,89,860,"farber",28
"shannon","White","Female",0.108225108225108,75,715,"farber",43
"susan","White","Female",0.0817790530846485,57,757,"farber",23
"adam","White","Male",0.26186943620178,353,1348,"kline",NA
"aisha","Black","Female",0.245508982035928,205,835,"kline",NA
"allison","White","Female",0.261818181818182,216,825,"kline",NA
"amanda","White","Female",0.260015117157974,344,1323,"kline",NA
"amy","White","Female",0.260772659732541,351,1346,"kline",NA
"anne","White","Female",0.263990267639903,217,822,"kline",NA
"antwan","Black","Male",0.248689138576779,332,1335,"kline",NA
"brad","White","Male",0.246768507638073,210,851,"kline",NA
"bradley","White","Male",0.238636363636364,315,1320,"kline",NA
"brendan","White","Male",0.258992805755396,216,834,"kline",NA
"brett","White","Male",0.252347417840376,215,852,"kline",NA
"carrie","White","Female",0.248815165876777,210,844,"kline",NA
"chad","White","Male",0.253720238095238,341,1344,"kline",NA
"darnell","Black","Male",0.243636363636364,201,825,"kline",NA
"donnell","Black","Male",0.236646884272997,319,1348,"kline",NA
"ebony","Black","Female",0.222485207100592,188,845,"kline",NA
"emily","White","Female",0.256658595641647,212,826,"kline",NA
"erin","White","Female",0.24132730015083,320,1326,"kline",NA
"geoffrey","White","Male",0.212514757969303,180,847,"kline",NA
"greg","White","Male",0.23905325443787,202,845,"kline",NA
"hakim","Black","Male",0.242460796139928,201,829,"kline",NA
"heather","White","Female",0.275862068965517,376,1363,"kline",NA
"jacob","White","Male",0.250944822373394,332,1323,"kline",NA
"jamal","Black","Male",0.232779097387173,196,842,"kline",NA
