"ResponseId","study","level","competence","warm","category"
"R_1etmOFEg5u3hHZd","ameri","spine",43,44,"health"
"R_1etmOFEg5u3hHZd","ameri","asperger",61,49,"health"
"R_2uybwOAsiL63Ukf","ameri","spine",97,72,"health"
"R_2uybwOAsiL63Ukf","ameri","asperger",35,90,"health"
"R_ANck6CfQeOmKFQl","ameri","spine",60,48,"health"
"R_ANck6CfQeOmKFQl","ameri","asperger",71,71,"health"
"R_2ZIAM0bcZWiW6xf","ameri","spine",56,67,"health"
"R_2ZIAM0bcZWiW6xf","ameri","asperger",29,53,"health"
"R_1oc2vu8nqajfPTh","ameri","spine",61,66,"health"
"R_1oc2vu8nqajfPTh","ameri","asperger",53,45,"health"
"R_bCwTIWFYbnPQlA5","ameri","spine",100,100,"health"
"R_bCwTIWFYbnPQlA5","ameri","asperger",1,1,"health"
"R_1jwwG1Bce0XADON","ameri","spine",60,20,"health"
"R_1jwwG1Bce0XADON","ameri","asperger",50,20,"health"
"R_3kocg86C7rC2BET","ameri","spine",77,91,"health"
"R_3kocg86C7rC2BET","ameri","asperger",80,82,"health"
"R_3jFbF5fpeFQyDMR","ameri","spine",24,31,"health"
"R_3jFbF5fpeFQyDMR","ameri","asperger",49,22,"health"
"R_3JfpiUdSGBSpudS","ameri","spine",78,81,"health"
"R_3JfpiUdSGBSpudS","ameri","asperger",57,59,"health"
"R_ePYZfFqsTC7Ccxj","ameri","spine",75,75,"health"
"R_ePYZfFqsTC7Ccxj","ameri","asperger",80,80,"health"
"R_3Ra1IttPVEhVJ6R","ameri","spine",65,60,"health"
"R_3Ra1IttPVEhVJ6R","ameri","asperger",40,57,"health"
"R_3qTYlEXkNagiar9","ameri","spine",60,93,"health"
"R_3qTYlEXkNagiar9","ameri","asperger",19,81,"health"
"R_1hJOsgsEIncPUVR","ameri","spine",87,88,"health"
"R_1hJOsgsEIncPUVR","ameri","asperger",52,82,"health"
"R_1Ao1KopQmfJ8YXn","ameri","spine",70,83,"health"
"R_1Ao1KopQmfJ8YXn","ameri","asperger",64,87,"health"
"R_27BbNIdisLE3uQU","ameri","spine",93,71,"health"
"R_27BbNIdisLE3uQU","ameri","asperger",45,49,"health"
"R_1mKkOSGZ17H5GI8","ameri","spine",30,71,"health"
"R_1mKkOSGZ17H5GI8","ameri","asperger",20,21,"health"
"R_2sdKCiZmMESdtfS","ameri","spine",100,100,"health"
"R_2sdKCiZmMESdtfS","ameri","asperger",100,100,"health"
"R_2yj7ZAR7r5V0CuL","ameri","spine",50,80,"health"
"R_2yj7ZAR7r5V0CuL","ameri","asperger",9,20,"health"
"R_C8lcKDZuGyDdQ1H","ameri","spine",50,50,"health"
"R_C8lcKDZuGyDdQ1H","ameri","asperger",50,50,"health"
"R_1F4iUrYvDHz47rx","ameri","spine",62,82,"health"
"R_1F4iUrYvDHz47rx","ameri","asperger",63,51,"health"
"R_Avxux8koZrb5hEB","ameri","spine",66,67,"health"
"R_Avxux8koZrb5hEB","ameri","asperger",38,75,"health"
"R_0Ilb6R0yqWPV4w9","ameri","spine",68,75,"health"
"R_0Ilb6R0yqWPV4w9","ameri","asperger",80,83,"health"
"R_2zCrgxK1TpHlbh3","ameri","spine",45,69,"health"
"R_2zCrgxK1TpHlbh3","ameri","asperger",93,9,"health"
"R_2Quji31sP1QwE8T","ameri","spine",40,89,"health"
"R_2Quji31sP1QwE8T","ameri","asperger",30,40,"health"
"R_1q8rtOAVhGspCAW","ameri","spine",76,66,"health"
"R_1q8rtOAVhGspCAW","ameri","asperger",54,50,"health"
"R_RssO5uAZQJPQH1D","ameri","spine",78,92,"health"
"R_RssO5uAZQJPQH1D","ameri","asperger",59,33,"health"
"R_12JgZp582ZxFgL2","ameri","spine",48,53,"health"
"R_12JgZp582ZxFgL2","ameri","asperger",75,31,"health"
"R_9pqfkVLpnpBaGrL","ameri","spine",93,92,"health"
"R_9pqfkVLpnpBaGrL","ameri","asperger",68,75,"health"
"R_1EZ3gcH1wn5UzqY","ameri","spine",49,67,"health"
"R_1EZ3gcH1wn5UzqY","ameri","asperger",49,64,"health"
"R_1n7yUko4Nw2G3Uk","ameri","spine",81,81,"health"
"R_1n7yUko4Nw2G3Uk","ameri","asperger",87,13,"health"
"R_30nRhWsHaNQo5Ew","ameri","spine",59,68,"health"
"R_30nRhWsHaNQo5Ew","ameri","asperger",30,39,"health"
"R_3L24U7iGaMsCS7d","ameri","spine",39,80,"health"
"R_3L24U7iGaMsCS7d","ameri","asperger",21,23,"health"
"R_1K8VPeBpAKhN4jo","ameri","spine",39,70,"health"
"R_1K8VPeBpAKhN4jo","ameri","asperger",52,30,"health"
"R_3kFH0l97fI5Yzre","ameri","spine",70,61,"health"
"R_3kFH0l97fI5Yzre","ameri","asperger",60,55,"health"
"R_1k19xUeBPm4MZli","ameri","spine",45,60,"health"
"R_1k19xUeBPm4MZli","ameri","asperger",40,70,"health"
"R_BDS1F0fXgMHV0l3","ameri","spine",46,37,"health"
"R_BDS1F0fXgMHV0l3","ameri","asperger",56,82,"health"
"R_sYI3AsFV0g1SKZz","ameri","spine",60,75,"health"
"R_sYI3AsFV0g1SKZz","ameri","asperger",20,20,"health"
"R_1I3OgRatDD0capL","ameri","spine",100,100,"health"
"R_1I3OgRatDD0capL","ameri","asperger",100,100,"health"
"R_22QaK00vPWrQ02r","ameri","spine",61,57,"health"
"R_22QaK00vPWrQ02r","ameri","asperger",21,4,"health"
"R_1qWgjn6V6ezaGP1","ameri","spine",40,100,"health"
"R_1qWgjn6V6ezaGP1","ameri","asperger",60,90,"health"
"R_RyS7fe4jJOmu61X","ameri","spine",19,91,"health"
"R_RyS7fe4jJOmu61X","ameri","asperger",9,52,"health"
"R_PCJ9JQq7DF3PYR3","ameri","spine",38,56,"health"
"R_PCJ9JQq7DF3PYR3","ameri","asperger",29,49,"health"
"R_3oFRcvPvTbkBPdo","ameri","spine",67,100,"health"
"R_3oFRcvPvTbkBPdo","ameri","asperger",74,82,"health"
"R_1d5demFjY5Cn24D","ameri","spine",71,52,"health"
"R_1d5demFjY5Cn24D","ameri","asperger",78,49,"health"
"R_2bZfbPRl5d9YXw5","ameri","spine",55,77,"health"
"R_2bZfbPRl5d9YXw5","ameri","asperger",49,53,"health"
"R_Rrig86LV0l9Lp4J","ameri","spine",23,85,"health"
"R_Rrig86LV0l9Lp4J","ameri","asperger",46,40,"health"
"R_yWRNdcb7QgqbEcN","ameri","spine",45,61,"health"
"R_yWRNdcb7QgqbEcN","ameri","asperger",36,30,"health"
"R_3iUdMR5rSvN36QW","ameri","spine",52,82,"health"
"R_3iUdMR5rSvN36QW","ameri","asperger",57,80,"health"
"R_264KHCXKbeNjkiU","ameri","spine",83,80,"health"
"R_264KHCXKbeNjkiU","ameri","asperger",34,35,"health"
"R_2QQWZXYo4xIstOB","ameri","spine",73,81,"health"
"R_2QQWZXYo4xIstOB","ameri","asperger",28,61,"health"
"R_3fivfFLms0pwXyV","ameri","spine",90,100,"health"
"R_3fivfFLms0pwXyV","ameri","asperger",70,70,"health"
"R_BzhT3D3hpQK4t8t","ameri","spine",68,84,"health"
"R_BzhT3D3hpQK4t8t","ameri","asperger",42,51,"health"
"R_2vi6cIJF34Wf1E2","ameri","spine",42,50,"health"
"R_2vi6cIJF34Wf1E2","ameri","asperger",10,12,"health"
"R_2S6KGagZeh10a6r","ameri","spine",65,90,"health"
"R_2S6KGagZeh10a6r","ameri","asperger",40,60,"health"
"R_2wSJVemMIYdWWBE","ameri","spine",62,33,"health"
"R_2wSJVemMIYdWWBE","ameri","asperger",25,78,"health"
"R_bdbAyYatrkJOFVf","ameri","spine",80,65,"health"
"R_bdbAyYatrkJOFVf","ameri","asperger",75,75,"health"
"R_9XD9Loft49TNj7X","ameri","spine",52,58,"health"
"R_9XD9Loft49TNj7X","ameri","asperger",46,47,"health"
"R_2cinorFhcDCKfWO","ameri","spine",33,43,"health"
"R_2cinorFhcDCKfWO","ameri","asperger",16,49,"health"
"R_2riJtQeVud76Dbs","ameri","spine",40,91,"health"
"R_2riJtQeVud76Dbs","ameri","asperger",40,75,"health"
"R_2ugmmt906m1lFzX","ameri","spine",84,85,"health"
"R_2ugmmt906m1lFzX","ameri","asperger",81,26,"health"
"R_2pMHF2gaOwylV2t","ameri","spine",65,90,"health"
"R_2pMHF2gaOwylV2t","ameri","asperger",40,45,"health"
"R_1CDBHKkFmfiZZNh","ameri","spine",49,75,"health"
"R_1CDBHKkFmfiZZNh","ameri","asperger",51,59,"health"
"R_Z8GlQ4Ho66JAmQx","ameri","spine",68,78,"health"
"R_Z8GlQ4Ho66JAmQx","ameri","asperger",52,68,"health"
"R_1BRHvSYeDBvrXXj","ameri","spine",56,46,"health"
"R_1BRHvSYeDBvrXXj","ameri","asperger",34,23,"health"
"R_1d4zBuKGS43aywZ","ameri","spine",50,60,"health"
"R_1d4zBuKGS43aywZ","ameri","asperger",40,25,"health"
"R_3IXfDhwltMqxCht","ameri","spine",61,60,"health"
"R_3IXfDhwltMqxCht","ameri","asperger",55,21,"health"
"R_1CrWI26I3NPQNzE","ameri","spine",51,54,"health"
"R_1CrWI26I3NPQNzE","ameri","asperger",23,50,"health"
"R_D65Z1VVtF7vqCAN","ameri","spine",65,59,"health"
"R_D65Z1VVtF7vqCAN","ameri","asperger",48,37,"health"
"R_bf7EhIni3KwUKPL","ameri","spine",37,56,"health"
"R_bf7EhIni3KwUKPL","ameri","asperger",34,50,"health"
"R_6WfwscUytJW3qRr","ameri","spine",45,45,"health"
"R_6WfwscUytJW3qRr","ameri","asperger",50,40,"health"
"R_1pRNtHYOX8xJ9hT","ameri","spine",89,82,"health"
"R_1pRNtHYOX8xJ9hT","ameri","asperger",88,75,"health"
"R_3pmB4hbTgfW5VJU","ameri","spine",80,80,"health"
"R_3pmB4hbTgfW5VJU","ameri","asperger",66,80,"health"
"R_CmLLeotbCecSS5z","ameri","spine",76,40,"health"
"R_CmLLeotbCecSS5z","ameri","asperger",17,19,"health"
"R_3L5Up65fplcVtH3","ameri","spine",19,76,"health"
"R_3L5Up65fplcVtH3","ameri","asperger",3,4,"health"
"R_yvyd5MsCZDYviJH","ameri","spine",58,58,"health"
"R_yvyd5MsCZDYviJH","ameri","asperger",57,61,"health"
"R_3M9ZmHFhNJ4P9lo","ameri","spine",6,7,"health"
"R_3M9ZmHFhNJ4P9lo","ameri","asperger",0,9,"health"
"R_2uEXCqEQFwg4mPv","ameri","spine",78,86,"health"
"R_2uEXCqEQFwg4mPv","ameri","asperger",22,40,"health"
"R_301uPNEV3gTmc7E","ameri","spine",39,60,"health"
