"ResponseId","name","warm","study","competent"
"R_3R8dK29zVuLC81B","allison","70","bertrand","65"
"R_3R8dK29zVuLC81B","anne","70","bertrand","65"
"R_3R8dK29zVuLC81B","carrie","70","bertrand","60"
"R_3R8dK29zVuLC81B","emily","75","bertrand","75"
"R_3R8dK29zVuLC81B","jill","65","bertrand","65"
"R_3R8dK29zVuLC81B","laurie","70","bertrand","65"
"R_3R8dK29zVuLC81B","kristen","70","bertrand","65"
"R_3R8dK29zVuLC81B","meredith","65","bertrand","65"
"R_3R8dK29zVuLC81B","sarah","70","bertrand","70"
"R_3R8dK29zVuLC81B","brad","65","bertrand","50"
"R_3R8dK29zVuLC81B","brendan","65","bertrand","55"
"R_3R8dK29zVuLC81B","geoffrey","60","bertrand","60"
"R_3R8dK29zVuLC81B","greg","65","bertrand","65"
"R_3R8dK29zVuLC81B","brett","65","bertrand","60"
"R_3R8dK29zVuLC81B","jay","65","bertrand","60"
"R_3R8dK29zVuLC81B","matthew","65","bertrand","65"
"R_3R8dK29zVuLC81B","neil","65","bertrand","70"
"R_3R8dK29zVuLC81B","todd","65","bertrand","65"
"R_3R8dK29zVuLC81B","aisha","65","bertrand","60"
"R_3R8dK29zVuLC81B","ebony","70","bertrand","65"
"R_3R8dK29zVuLC81B","keisha","70","bertrand","65"
"R_3R8dK29zVuLC81B","kenya","70","bertrand","65"
"R_3R8dK29zVuLC81B","lakisha","70","bertrand","70"
"R_3R8dK29zVuLC81B","latonya","70","bertrand","65"
"R_3R8dK29zVuLC81B","latoya","75","bertrand","75"
"R_3R8dK29zVuLC81B","tamika","75","bertrand","70"
"R_3R8dK29zVuLC81B","tanisha","70","bertrand","70"
"R_3R8dK29zVuLC81B","darnell","65","bertrand","55"
"R_3R8dK29zVuLC81B","hakim","70","bertrand","65"
"R_3R8dK29zVuLC81B","jamal","65","bertrand","60"
"R_3R8dK29zVuLC81B","jermaine","65","bertrand","75"
"R_3R8dK29zVuLC81B","kareem","65","bertrand","65"
"R_3R8dK29zVuLC81B","leroy","65","bertrand","60"
"R_3R8dK29zVuLC81B","rasheed","70","bertrand","65"
"R_3R8dK29zVuLC81B","tremayne","65","bertrand","70"
"R_3R8dK29zVuLC81B","tyrone","65","bertrand","65"
"R_85Pg46Yq8ahxgml","allison","58","bertrand","56"
"R_85Pg46Yq8ahxgml","anne","57","bertrand","45"
"R_85Pg46Yq8ahxgml","carrie","82","bertrand","34"
"R_85Pg46Yq8ahxgml","emily","72","bertrand","65"
"R_85Pg46Yq8ahxgml","jill","39","bertrand","71"
"R_85Pg46Yq8ahxgml","laurie","71","bertrand","68"
"R_85Pg46Yq8ahxgml","kristen","56","bertrand","41"
"R_85Pg46Yq8ahxgml","meredith","40","bertrand","54"
